,stature,weightkg,waistcircumference,buttockcircumference,size,color
656,1768,735,817,1014,large,cornflowerblue
657,1658,557,759,897,medium,lightsteelblue
658,1629,655,865,981,large,cornflowerblue
659,1672,691,855,1027,large,cornflowerblue
660,1783,965,967,1134,xl,royalblue
661,1571,702,992,1011,xl,royalblue
662,1525,523,736,875,medium,lightsteelblue
663,1595,660,876,999,large,cornflowerblue
664,1708,814,947,1082,xl,royalblue
665,1818,952,1000,1145,xl,royalblue
666,1688,658,802,956,large,cornflowerblue
667,1568,503,695,936,small,slategrey
668,1555,547,807,943,large,cornflowerblue
669,1645,688,918,1034,xl,royalblue
670,1631,604,750,958,medium,lightsteelblue
671,1563,669,881,1005,xl,royalblue
672,1566,599,806,1000,large,cornflowerblue
673,1585,616,875,1014,large,cornflowerblue
674,1518,548,798,952,medium,lightsteelblue
675,1590,604,716,938,small,slategrey
676,1462,519,829,920,large,cornflowerblue
677,1599,640,943,1007,xl,royalblue
678,1665,669,834,1058,large,cornflowerblue
679,1712,791,958,1063,xl,royalblue
680,1634,598,796,958,medium,lightsteelblue
681,1628,736,865,1030,large,cornflowerblue
682,1625,825,1052,1077,xxl,blue
683,1718,756,881,1083,xl,royalblue
684,1604,595,767,946,medium,lightsteelblue
685,1748,863,978,1171,xl,royalblue
686,1650,686,936,983,xl,royalblue
687,1679,763,970,1063,xl,royalblue
688,1635,725,904,1052,xl,royalblue
689,1673,639,783,979,medium,lightsteelblue
690,1643,559,772,927,medium,lightsteelblue
691,1691,764,960,1044,xl,royalblue
692,1672,699,871,1001,large,cornflowerblue
693,1638,630,825,1010,large,cornflowerblue
694,1676,606,734,954,medium,lightsteelblue
695,1655,680,852,1017,large,cornflowerblue
696,1675,654,813,1029,large,cornflowerblue
697,1508,538,765,960,medium,lightsteelblue
698,1679,731,955,1058,xl,royalblue
699,1692,766,882,1099,xl,royalblue
700,1631,577,800,935,medium,lightsteelblue
701,1533,598,827,984,large,cornflowerblue
702,1563,686,887,1064,xl,royalblue
703,1655,708,830,1049,large,cornflowerblue
704,1496,488,697,880,small,slategrey
705,1777,766,857,1052,large,cornflowerblue
706,1546,583,788,948,medium,lightsteelblue
707,1685,685,936,1039,xl,royalblue
708,1608,585,768,975,medium,lightsteelblue
709,1632,719,833,1044,large,cornflowerblue
710,1690,649,802,993,large,cornflowerblue
711,1655,583,742,926,medium,lightsteelblue
712,1574,648,850,1027,large,cornflowerblue
713,1659,564,758,923,medium,lightsteelblue
714,1541,478,706,870,small,slategrey
715,1675,591,775,951,medium,lightsteelblue
716,1652,665,912,1038,xl,royalblue
717,1593,649,886,1042,xl,royalblue
718,1565,512,755,905,medium,lightsteelblue
719,1530,496,765,872,medium,lightsteelblue
720,1600,744,897,1026,xl,royalblue
721,1615,680,868,984,large,cornflowerblue
722,1557,506,790,900,medium,lightsteelblue
723,1679,591,785,938,medium,lightsteelblue
724,1662,712,864,1045,large,cornflowerblue
725,1696,844,967,1121,xl,royalblue
726,1657,547,760,939,medium,lightsteelblue
727,1495,487,726,903,medium,lightsteelblue
728,1644,612,842,989,large,cornflowerblue
729,1652,722,865,1035,large,cornflowerblue
730,1566,567,888,959,xl,royalblue
731,1653,688,819,1002,large,cornflowerblue
732,1604,542,739,945,medium,lightsteelblue
733,1594,611,805,980,large,cornflowerblue
734,1627,672,880,1038,large,cornflowerblue
735,1729,749,810,1029,large,cornflowerblue
736,1602,585,803,928,large,cornflowerblue
737,1615,605,787,977,medium,lightsteelblue
738,1645,601,787,986,medium,lightsteelblue
739,1623,621,821,948,large,cornflowerblue
740,1595,609,723,922,medium,lightsteelblue
741,1480,470,628,833,xs,asd
742,1696,786,951,1085,xl,royalblue
743,1680,725,857,1066,large,cornflowerblue
744,1590,516,726,894,medium,lightsteelblue
745,1529,501,700,870,small,slategrey
746,1551,626,860,980,large,cornflowerblue
747,1709,787,832,1072,large,cornflowerblue
748,1589,572,818,927,large,cornflowerblue
749,1616,670,813,1058,large,cornflowerblue
750,1643,535,705,925,small,slategrey
751,1587,638,768,1037,medium,lightsteelblue
752,1691,752,779,1043,large,cornflowerblue
753,1558,519,699,894,small,slategrey
754,1611,602,768,961,medium,lightsteelblue
755,1724,701,898,1011,xl,royalblue
756,1623,782,900,1063,xl,royalblue
757,1686,611,791,903,medium,lightsteelblue
758,1587,631,895,973,xl,royalblue
759,1546,540,710,903,small,slategrey
760,1682,619,827,941,large,cornflowerblue
761,1519,577,812,985,large,cornflowerblue
762,1631,673,808,1002,large,cornflowerblue
763,1525,608,789,1027,medium,lightsteelblue
764,1657,905,1092,1158,xxl,blue
765,1653,682,815,995,large,cornflowerblue
766,1447,683,937,1036,xl,royalblue
767,1615,778,1040,1056,xxl,blue
768,1732,648,854,1009,large,cornflowerblue
769,1733,1082,1076,1265,xxl,blue
770,1760,875,1031,1165,xxl,blue
771,1669,788,930,1078,xl,royalblue
772,1602,844,976,1124,xl,royalblue
773,1611,667,916,998,xl,royalblue
774,1607,749,927,1030,xl,royalblue
775,1582,827,1032,1158,xxl,blue
776,1636,695,925,1057,xl,royalblue
777,1702,697,889,1027,xl,royalblue
778,1591,528,708,887,small,slategrey
779,1724,785,925,1062,xl,royalblue
780,1657,669,833,1030,large,cornflowerblue
781,1591,556,827,929,large,cornflowerblue
782,1630,840,1042,1160,xxl,blue
783,1730,831,961,1061,xl,royalblue
784,1695,735,866,1064,large,cornflowerblue
785,1598,763,911,1110,xl,royalblue
786,1606,637,875,1006,large,cornflowerblue
787,1644,700,906,1016,xl,royalblue
788,1575,626,835,1037,large,cornflowerblue
789,1642,607,787,960,medium,lightsteelblue
790,1615,705,943,1031,xl,royalblue
791,1570,689,913,1110,xl,royalblue
792,1607,633,778,974,medium,lightsteelblue
793,1626,564,722,916,medium,lightsteelblue
794,1729,729,843,1009,large,cornflowerblue
795,1501,618,782,970,medium,lightsteelblue
796,1657,618,791,947,medium,lightsteelblue
797,1614,546,761,911,medium,lightsteelblue
798,1660,686,853,1015,large,cornflowerblue
799,1675,641,725,927,medium,lightsteelblue
800,1638,635,779,970,medium,lightsteelblue
801,1584,634,834,1010,large,cornflowerblue
802,1680,684,800,1021,medium,lightsteelblue
803,1667,680,835,965,large,cornflowerblue
804,1758,751,825,1053,large,cornflowerblue
805,1688,851,962,1139,xl,royalblue
806,1636,582,823,965,large,cornflowerblue
807,1607,709,846,1036,large,cornflowerblue
808,1594,664,959,1062,xl,royalblue
809,1694,757,907,1025,xl,royalblue
810,1606,632,807,993,large,cornflowerblue
811,1687,674,853,987,large,cornflowerblue
812,1574,602,753,978,medium,lightsteelblue
813,1603,616,839,965,large,cornflowerblue
814,1559,584,762,922,medium,lightsteelblue
815,1659,717,861,1042,large,cornflowerblue
816,1614,606,845,960,large,cornflowerblue
817,1630,648,818,994,large,cornflowerblue
818,1435,478,760,885,medium,lightsteelblue
819,1672,751,885,1037,xl,royalblue
820,1708,739,872,1020,large,cornflowerblue
821,1676,686,887,991,xl,royalblue
822,1609,620,788,1018,medium,lightsteelblue
823,1590,740,937,1055,xl,royalblue
824,1629,598,798,946,medium,lightsteelblue
825,1598,645,826,987,large,cornflowerblue
826,1560,563,761,939,medium,lightsteelblue
827,1688,686,822,959,large,cornflowerblue
828,1745,696,803,970,large,cornflowerblue
829,1673,631,791,955,medium,lightsteelblue
830,1662,729,846,1035,large,cornflowerblue
831,1576,548,762,889,medium,lightsteelblue
832,1720,650,860,954,large,cornflowerblue
833,1701,700,867,1033,large,cornflowerblue
834,1620,580,793,930,medium,lightsteelblue
835,1670,738,928,1044,xl,royalblue
836,1630,478,672,853,small,slategrey
837,1636,583,785,958,medium,lightsteelblue
838,1714,849,916,1177,xl,royalblue
839,1702,732,854,1027,large,cornflowerblue
840,1590,609,778,981,medium,lightsteelblue
841,1643,654,771,1031,medium,lightsteelblue
842,1769,832,897,1101,xl,royalblue
843,1549,591,822,970,large,cornflowerblue
844,1533,695,935,985,xl,royalblue
845,1592,609,828,964,large,cornflowerblue
846,1609,650,841,975,large,cornflowerblue
847,1569,550,754,933,medium,lightsteelblue
848,1586,659,865,1017,large,cornflowerblue
849,1574,701,827,1059,large,cornflowerblue
850,1617,689,887,1012,xl,royalblue
851,1589,607,836,972,large,cornflowerblue
852,1679,736,917,1040,xl,royalblue
853,1700,564,739,915,medium,lightsteelblue
854,1623,566,779,931,medium,lightsteelblue
855,1677,681,775,981,medium,lightsteelblue
856,1598,660,860,1018,large,cornflowerblue
857,1625,536,700,898,small,slategrey
858,1685,647,812,963,large,cornflowerblue
859,1685,776,908,1059,xl,royalblue
860,1623,563,733,898,medium,lightsteelblue
861,1674,675,904,994,xl,royalblue
862,1653,604,814,959,large,cornflowerblue
863,1587,542,872,965,large,cornflowerblue
864,1595,664,980,1071,xl,royalblue
865,1563,744,1046,1096,xxl,blue
866,1674,621,841,980,large,cornflowerblue
867,1439,585,824,977,large,cornflowerblue
868,1718,810,955,1074,xl,royalblue
869,1589,511,717,930,small,slategrey
870,1645,717,964,1030,xl,royalblue
871,1677,607,758,1005,medium,lightsteelblue
872,1552,591,829,1030,large,cornflowerblue
873,1523,636,999,1005,xl,royalblue
874,1612,715,941,1088,xl,royalblue
875,1642,574,776,946,medium,lightsteelblue
876,1732,716,822,1003,large,cornflowerblue
877,1600,540,752,931,medium,lightsteelblue
878,1409,426,716,815,small,slategrey
879,1620,585,759,926,medium,lightsteelblue
880,1746,828,898,1112,xl,royalblue
881,1688,740,852,1055,large,cornflowerblue
882,1606,765,920,1054,xl,royalblue
883,1658,852,1047,1130,xxl,blue
884,1590,671,904,1066,xl,royalblue
885,1781,760,875,1060,large,cornflowerblue
886,1690,695,850,1062,large,cornflowerblue
887,1654,754,987,1079,xl,royalblue
888,1583,663,870,1079,large,cornflowerblue
889,1523,480,743,912,medium,lightsteelblue
890,1685,830,910,1100,xl,royalblue
891,1672,756,964,1095,xl,royalblue
892,1641,784,934,1046,xl,royalblue
893,1644,594,780,985,medium,lightsteelblue
894,1597,766,951,1104,xl,royalblue
895,1732,678,795,969,medium,lightsteelblue
896,1529,517,815,907,large,cornflowerblue
897,1620,662,848,1015,large,cornflowerblue
898,1643,665,797,966,medium,lightsteelblue
899,1556,613,927,961,xl,royalblue
900,1630,729,986,1086,xl,royalblue
901,1614,701,884,1103,xl,royalblue
902,1464,426,673,872,small,slategrey
903,1749,729,810,1039,large,cornflowerblue
904,1618,761,933,1076,xl,royalblue
905,1631,719,995,1077,xl,royalblue
906,1704,794,966,1100,xl,royalblue
907,1669,705,874,1036,large,cornflowerblue
908,1586,727,1013,1044,xxl,blue
909,1602,609,735,998,medium,lightsteelblue
910,1620,800,1072,1130,xxl,blue
911,1575,625,834,1046,large,cornflowerblue
912,1513,768,1065,1167,xxl,blue
913,1573,578,818,973,large,cornflowerblue
914,1649,639,828,990,large,cornflowerblue
915,1657,749,945,1040,xl,royalblue
916,1538,650,900,1002,xl,royalblue
917,1684,633,831,1033,large,cornflowerblue
918,1550,526,822,932,large,cornflowerblue
919,1630,766,1021,1117,xxl,blue
920,1693,934,1157,1148,xxxxl,red
921,1557,667,861,1042,large,cornflowerblue
922,1627,622,765,971,medium,lightsteelblue
923,1666,942,1085,1078,xxl,blue
924,1599,641,880,995,large,cornflowerblue
925,1547,692,1012,1074,xxl,blue
926,1636,646,831,1006,large,cornflowerblue
927,1547,525,797,916,medium,lightsteelblue
928,1629,490,762,918,medium,lightsteelblue
929,1560,749,922,1108,xl,royalblue
930,1751,852,1035,1092,xxl,blue
931,1625,772,1012,1083,xxl,blue
932,1573,643,864,986,large,cornflowerblue
933,1599,722,962,1079,xl,royalblue
934,1547,693,914,983,xl,royalblue
935,1735,737,862,1094,large,cornflowerblue
936,1670,725,957,1045,xl,royalblue
937,1678,816,897,1147,xl,royalblue
938,1604,570,812,964,large,cornflowerblue
939,1631,660,865,998,large,cornflowerblue
940,1684,804,1054,1190,xxl,blue
941,1715,852,973,1163,xl,royalblue
942,1635,662,947,966,xl,royalblue
943,1666,706,902,1041,xl,royalblue
944,1705,577,782,909,medium,lightsteelblue
945,1629,526,755,905,medium,lightsteelblue
946,1718,808,990,1098,xl,royalblue
947,1626,834,972,1126,xl,royalblue
948,1616,750,922,1069,xl,royalblue
949,1602,619,895,1031,xl,royalblue
950,1667,675,885,1034,xl,royalblue
951,1645,702,910,1023,xl,royalblue
952,1670,659,827,1000,large,cornflowerblue
953,1621,712,840,1085,large,cornflowerblue
954,1721,1028,1032,1196,xxl,blue
955,1606,759,903,1061,xl,royalblue
956,1567,659,875,1005,large,cornflowerblue
957,1720,644,790,979,medium,lightsteelblue
958,1639,689,875,1063,large,cornflowerblue
959,1730,863,983,1110,xl,royalblue
960,1682,949,1139,1168,xxxxl,red
961,1720,630,792,995,medium,lightsteelblue
962,1783,1069,1133,1181,xxxxl,red
963,1641,639,881,991,xl,royalblue
964,1568,683,907,1101,xl,royalblue
965,1640,630,850,994,large,cornflowerblue
966,1556,718,945,1054,xl,royalblue
967,1647,874,1069,1160,xxl,blue
968,1630,752,920,1111,xl,royalblue
969,1587,852,1095,1157,xxl,blue
970,1627,827,1039,1098,xxl,blue
971,1638,559,765,936,medium,lightsteelblue
972,1644,821,1042,1078,xxl,blue
973,1603,663,880,990,large,cornflowerblue
974,1713,638,811,978,large,cornflowerblue
975,1721,799,987,1114,xl,royalblue
976,1573,589,793,999,medium,lightsteelblue
977,1619,761,918,1102,xl,royalblue
978,1524,672,1040,1060,xxl,blue
979,1605,541,803,901,large,cornflowerblue
980,1617,697,838,983,large,cornflowerblue
981,1601,616,878,988,large,cornflowerblue
982,1703,852,1040,1148,xxl,blue
983,1574,582,785,957,medium,lightsteelblue
984,1596,742,943,1027,xl,royalblue
985,1602,609,800,966,medium,lightsteelblue
986,1599,690,916,1026,xl,royalblue
987,1632,675,961,1013,xl,royalblue
988,1660,886,1065,1159,xxl,blue
989,1568,652,847,1046,large,cornflowerblue
990,1639,826,1020,1158,xxl,blue
991,1591,556,790,904,medium,lightsteelblue
992,1628,719,887,1080,xl,royalblue
993,1615,822,975,1088,xl,royalblue
994,1680,965,1100,1205,xxl,blue
995,1590,624,896,982,xl,royalblue
996,1563,435,660,854,small,slategrey
997,1641,753,1021,1022,xxl,blue
998,1710,553,790,900,medium,lightsteelblue
999,1566,578,816,989,large,cornflowerblue
1000,1573,713,966,1048,xl,royalblue
1001,1669,776,966,1083,xl,royalblue
1002,1607,655,809,985,large,cornflowerblue
1003,1633,578,787,890,medium,lightsteelblue
1004,1699,843,907,1089,xl,royalblue
1005,1638,670,877,1002,large,cornflowerblue
1006,1634,764,878,1102,large,cornflowerblue
1007,1660,663,734,982,medium,lightsteelblue
1008,1604,671,861,1010,large,cornflowerblue
1009,1693,706,885,961,xl,royalblue
1010,1595,636,820,985,large,cornflowerblue
1011,1694,646,796,962,medium,lightsteelblue
1012,1626,658,835,975,large,cornflowerblue
1013,1613,789,922,1092,xl,royalblue
1014,1614,585,769,963,medium,lightsteelblue
1015,1630,589,812,959,large,cornflowerblue
1016,1716,785,973,1063,xl,royalblue
1017,1510,676,952,1021,xl,royalblue
1018,1639,862,1113,1110,xxl,blue
1019,1576,605,907,952,xl,royalblue
1020,1677,950,1068,1156,xxl,blue
1021,1669,649,843,955,large,cornflowerblue
1022,1592,616,755,999,medium,lightsteelblue
1023,1606,715,910,1025,xl,royalblue
1024,1597,765,943,1102,xl,royalblue
1025,1610,652,819,1045,large,cornflowerblue
1026,1811,773,905,1104,xl,royalblue
1027,1639,734,1018,1087,xxl,blue
1028,1635,549,757,928,medium,lightsteelblue
1029,1751,802,893,1092,xl,royalblue
1030,1626,695,849,1041,large,cornflowerblue
1031,1688,647,768,990,medium,lightsteelblue
1032,1588,657,850,1051,large,cornflowerblue
1033,1635,871,1090,1139,xxl,blue
1034,1624,580,835,976,large,cornflowerblue
1035,1634,796,946,1107,xl,royalblue
1036,1749,761,852,1066,large,cornflowerblue
1037,1646,576,741,939,medium,lightsteelblue
1038,1600,870,1060,1138,xxl,blue
1039,1600,766,1017,1060,xxl,blue
1040,1517,548,782,1002,medium,lightsteelblue
1041,1659,826,1030,1115,xxl,blue
1042,1718,651,853,1007,large,cornflowerblue
1043,1533,570,881,965,xl,royalblue
1044,1592,719,948,1043,xl,royalblue
1045,1636,726,846,1044,large,cornflowerblue
1046,1648,716,875,1026,large,cornflowerblue
1047,1669,832,982,1091,xl,royalblue
1048,1655,604,791,954,medium,lightsteelblue
1049,1770,764,844,1023,large,cornflowerblue
1050,1752,934,1028,1181,xxl,blue
1051,1741,573,768,961,medium,lightsteelblue
1052,1608,582,775,993,medium,lightsteelblue
1053,1636,553,718,890,small,slategrey
1054,1555,698,871,1021,large,cornflowerblue
1055,1573,640,840,1063,large,cornflowerblue
1056,1623,590,719,951,small,slategrey
1057,1534,604,811,976,large,cornflowerblue
1058,1543,666,920,1070,xl,royalblue
1059,1744,670,812,998,large,cornflowerblue
1060,1623,633,814,1033,large,cornflowerblue
1061,1587,618,818,1008,large,cornflowerblue
1062,1563,645,844,1036,large,cornflowerblue
1063,1655,582,787,930,medium,lightsteelblue
1064,1612,796,948,1182,xl,royalblue
1065,1636,609,834,995,large,cornflowerblue
1066,1709,823,972,1127,xl,royalblue
1067,1547,567,763,925,medium,lightsteelblue
1068,1657,510,710,894,small,slategrey
1069,1695,601,805,945,large,cornflowerblue
1070,1720,716,843,1046,large,cornflowerblue
1071,1587,681,866,1040,large,cornflowerblue
1072,1676,940,981,1142,xl,royalblue
1073,1726,686,840,1033,large,cornflowerblue
1074,1616,671,866,1042,large,cornflowerblue
1075,1747,689,745,984,medium,lightsteelblue
1076,1705,786,930,1016,xl,royalblue
1077,1685,704,824,1015,large,cornflowerblue
1078,1594,504,669,887,small,slategrey
1079,1687,598,769,944,medium,lightsteelblue
1080,1700,760,877,1022,large,cornflowerblue
1081,1658,780,970,1072,xl,royalblue
1082,1562,712,880,1101,large,cornflowerblue
1083,1658,665,870,997,large,cornflowerblue
1084,1688,735,900,1080,xl,royalblue
1085,1524,544,752,937,medium,lightsteelblue
1086,1611,678,805,1008,large,cornflowerblue
1087,1627,648,842,994,large,cornflowerblue
1088,1614,663,917,1001,xl,royalblue
1089,1598,779,853,1142,xl,royalblue
1090,1643,702,953,1019,xl,royalblue
1091,1611,592,816,962,large,cornflowerblue
1092,1520,563,778,985,medium,lightsteelblue
1093,1697,927,963,1143,xl,royalblue
1094,1640,801,931,1068,xl,royalblue
1095,1672,772,889,1104,xl,royalblue
1096,1662,704,805,1008,large,cornflowerblue
1097,1601,590,776,967,medium,lightsteelblue
1098,1580,640,795,1007,medium,lightsteelblue
1099,1676,842,936,1112,xl,royalblue
1100,1536,546,702,957,small,slategrey
1101,1561,715,918,1156,xl,royalblue
1102,1475,575,828,1012,large,cornflowerblue
1103,1532,522,698,907,small,slategrey
1104,1646,725,839,1072,large,cornflowerblue
1105,1657,517,774,913,medium,lightsteelblue
1106,1648,631,828,994,large,cornflowerblue
1107,1586,537,722,912,medium,lightsteelblue
1108,1609,597,805,963,large,cornflowerblue
1109,1562,607,821,957,large,cornflowerblue
1110,1507,577,797,972,medium,lightsteelblue
1111,1468,499,764,911,medium,lightsteelblue
1112,1636,687,847,1011,large,cornflowerblue
1113,1585,680,863,995,large,cornflowerblue
1114,1607,632,868,1007,large,cornflowerblue
1115,1657,776,907,1051,xl,royalblue
1116,1606,638,883,1046,xl,royalblue
1117,1705,783,946,1098,xl,royalblue
1118,1605,602,735,982,medium,lightsteelblue
1119,1666,771,952,1102,xl,royalblue
1120,1635,617,833,954,large,cornflowerblue
1121,1498,462,737,864,medium,lightsteelblue
1122,1619,591,715,1003,medium,lightsteelblue
1123,1559,574,808,959,large,cornflowerblue
1124,1639,621,758,949,medium,lightsteelblue
1125,1574,618,883,977,xl,royalblue
1126,1530,518,789,920,medium,lightsteelblue
1127,1552,631,812,1022,large,cornflowerblue
1128,1572,653,838,1008,large,cornflowerblue
1129,1670,646,770,964,medium,lightsteelblue
1130,1574,569,707,928,small,slategrey
1131,1636,661,798,1008,medium,lightsteelblue
1132,1575,598,856,994,large,cornflowerblue
1133,1676,533,716,944,small,slategrey
1134,1705,755,940,1011,xl,royalblue
1135,1603,702,907,1034,xl,royalblue
1136,1593,655,832,1032,large,cornflowerblue
1137,1611,644,836,965,large,cornflowerblue
1138,1673,680,840,1026,large,cornflowerblue
1139,1689,715,790,1040,large,cornflowerblue
1140,1529,499,733,918,medium,lightsteelblue
1141,1602,523,700,899,small,slategrey
1142,1764,740,805,1006,large,cornflowerblue
1143,1648,750,937,1102,xl,royalblue
1144,1587,604,867,976,large,cornflowerblue
1145,1492,430,641,822,small,slategrey
1146,1567,750,951,1063,xl,royalblue
1147,1563,716,845,1103,large,cornflowerblue
1148,1663,723,876,1019,large,cornflowerblue
1149,1617,765,951,1081,xl,royalblue
1150,1683,660,790,969,medium,lightsteelblue
1151,1636,600,752,979,medium,lightsteelblue
1152,1628,695,807,1008,large,cornflowerblue
1153,1536,637,852,984,large,cornflowerblue
1154,1530,602,880,989,large,cornflowerblue
1155,1678,815,913,1105,xl,royalblue
1156,1682,773,885,1054,xl,royalblue
1157,1585,537,742,900,medium,lightsteelblue
1158,1588,672,826,1002,large,cornflowerblue
1159,1718,698,820,993,large,cornflowerblue
1160,1655,809,1010,1176,xxl,blue
1161,1705,722,820,1053,large,cornflowerblue
1162,1608,630,792,965,medium,lightsteelblue
1163,1607,654,766,989,medium,lightsteelblue
1164,1490,484,728,900,medium,lightsteelblue
1165,1563,653,895,987,xl,royalblue
1166,1677,669,811,1064,large,cornflowerblue
1167,1615,668,856,1025,large,cornflowerblue
1168,1570,672,772,1076,large,cornflowerblue
1169,1563,597,826,1034,large,cornflowerblue
1170,1627,658,844,983,large,cornflowerblue
1171,1743,657,756,990,medium,lightsteelblue
1172,1635,681,893,1050,xl,royalblue
1173,1699,894,1059,1193,xxl,blue
1174,1503,643,781,1035,medium,lightsteelblue
1175,1637,857,932,1116,xl,royalblue
1176,1544,560,746,935,medium,lightsteelblue
1177,1493,613,801,962,large,cornflowerblue
1178,1645,662,928,1010,xl,royalblue
1179,1707,719,806,1025,large,cornflowerblue
1180,1611,586,749,967,medium,lightsteelblue
1181,1543,576,767,926,medium,lightsteelblue
1182,1604,560,748,932,medium,lightsteelblue
1183,1588,616,798,990,medium,lightsteelblue
1184,1543,533,722,912,medium,lightsteelblue
1185,1630,678,888,1034,xl,royalblue
1186,1674,776,784,1000,medium,lightsteelblue
1187,1560,658,778,1012,medium,lightsteelblue
1188,1620,666,930,997,xl,royalblue
1189,1613,549,740,957,medium,lightsteelblue
1190,1541,539,818,927,large,cornflowerblue
1191,1595,814,1026,1153,xxl,blue
1192,1600,611,796,950,medium,lightsteelblue
1193,1690,777,865,1078,large,cornflowerblue
1194,1612,725,892,1046,xl,royalblue
1195,1559,664,891,995,xl,royalblue
1196,1678,806,985,1110,xl,royalblue
1197,1608,522,767,949,medium,lightsteelblue
1198,1559,478,698,881,small,slategrey
1199,1683,845,1031,1113,xxl,blue
1200,1586,685,869,1060,large,cornflowerblue
1201,1646,646,853,983,large,cornflowerblue
1202,1656,679,788,1019,medium,lightsteelblue
1203,1515,509,755,901,medium,lightsteelblue
1204,1754,745,868,1018,large,cornflowerblue
1205,1699,670,773,1028,medium,lightsteelblue
1206,1573,573,847,940,large,cornflowerblue
1207,1657,597,799,982,medium,lightsteelblue
1208,1655,665,895,973,xl,royalblue
1209,1502,505,740,896,medium,lightsteelblue
1210,1653,749,927,1074,xl,royalblue
1211,1633,756,905,1046,xl,royalblue
1212,1585,634,837,953,large,cornflowerblue
1213,1632,768,896,1123,xl,royalblue
1214,1616,804,968,1122,xl,royalblue
1215,1670,762,941,1091,xl,royalblue
1216,1632,526,698,919,small,slategrey
1217,1648,653,785,983,medium,lightsteelblue
1218,1576,726,928,1030,xl,royalblue
1219,1606,557,783,915,medium,lightsteelblue
1220,1652,599,772,981,medium,lightsteelblue
1221,1625,759,970,1071,xl,royalblue
1222,1598,607,880,960,large,cornflowerblue
1223,1618,669,946,1064,xl,royalblue
1224,1674,697,915,1014,xl,royalblue
1225,1563,614,855,1025,large,cornflowerblue
1226,1728,742,881,1098,xl,royalblue
1227,1590,671,855,1055,large,cornflowerblue
1228,1636,577,825,974,large,cornflowerblue
1229,1655,803,939,1061,xl,royalblue
1230,1707,634,837,1003,large,cornflowerblue
1231,1676,681,822,1062,large,cornflowerblue
1232,1633,734,895,1083,xl,royalblue
1233,1607,672,803,1032,large,cornflowerblue
1234,1618,662,911,1036,xl,royalblue
1235,1708,703,822,1086,large,cornflowerblue
1236,1735,709,790,1022,medium,lightsteelblue
1237,1715,586,700,915,small,slategrey
1238,1570,493,727,898,medium,lightsteelblue
1239,1642,733,849,1045,large,cornflowerblue
1240,1788,996,1174,1170,xxxxl,red
1241,1600,648,837,1035,large,cornflowerblue
1242,1675,729,835,1033,large,cornflowerblue
1243,1634,902,1114,1165,xxl,blue
1244,1576,754,960,1078,xl,royalblue
1245,1599,654,814,988,large,cornflowerblue
1246,1598,708,824,1054,large,cornflowerblue
1247,1548,647,889,1016,xl,royalblue
1248,1607,631,790,993,medium,lightsteelblue
1249,1686,666,775,1027,medium,lightsteelblue
1250,1640,667,827,1003,large,cornflowerblue
1251,1563,497,707,903,small,slategrey
1252,1591,558,788,953,medium,lightsteelblue
1253,1678,921,982,1160,xl,royalblue
1254,1670,695,804,1044,large,cornflowerblue
1255,1529,563,847,914,large,cornflowerblue
1256,1616,603,757,970,medium,lightsteelblue
1257,1620,647,860,1022,large,cornflowerblue
1258,1510,642,827,1041,large,cornflowerblue
1259,1626,701,852,1069,large,cornflowerblue
1260,1600,583,815,985,large,cornflowerblue
1261,1679,843,966,1108,xl,royalblue
1262,1600,696,928,1068,xl,royalblue
1263,1618,735,906,1062,xl,royalblue
1264,1629,470,729,859,medium,lightsteelblue
1265,1651,608,775,973,medium,lightsteelblue
1266,1596,515,742,933,medium,lightsteelblue
1267,1654,717,882,1070,xl,royalblue
1268,1776,889,995,1167,xl,royalblue
1269,1546,532,705,956,small,slategrey
1270,1676,747,876,999,large,cornflowerblue
1271,1585,622,775,1018,medium,lightsteelblue
1272,1594,574,733,924,medium,lightsteelblue
1273,1629,565,781,950,medium,lightsteelblue
1274,1581,646,840,1017,large,cornflowerblue
1275,1614,529,751,902,medium,lightsteelblue
1276,1559,648,834,1012,large,cornflowerblue
1277,1697,751,878,1054,large,cornflowerblue
1278,1674,740,879,1031,large,cornflowerblue
1279,1692,758,974,1039,xl,royalblue
1280,1615,554,760,903,medium,lightsteelblue
1281,1762,852,964,1075,xl,royalblue
1282,1573,814,1025,1155,xxl,blue
1283,1674,824,966,1102,xl,royalblue
1284,1531,503,761,930,medium,lightsteelblue
1285,1505,607,905,998,xl,royalblue
1286,1700,692,851,1007,large,cornflowerblue
1287,1539,640,903,981,xl,royalblue
1288,1620,650,820,989,large,cornflowerblue
1289,1712,580,719,935,small,slategrey
1290,1554,601,810,1010,large,cornflowerblue
1291,1598,601,728,985,medium,lightsteelblue
1292,1612,664,845,1002,large,cornflowerblue
1293,1707,703,806,1053,large,cornflowerblue
1294,1611,616,764,980,medium,lightsteelblue
1295,1599,654,854,975,large,cornflowerblue
1296,1569,589,747,964,medium,lightsteelblue
1297,1663,524,656,902,small,slategrey
1298,1666,706,886,1016,xl,royalblue
1299,1659,676,801,998,large,cornflowerblue
1300,1543,623,895,966,xl,royalblue
1301,1571,628,916,998,xl,royalblue
1302,1618,503,681,908,small,slategrey
1303,1610,599,790,996,medium,lightsteelblue
1304,1512,508,680,922,small,slategrey
1305,1555,520,725,884,medium,lightsteelblue
1306,1729,831,942,1055,xl,royalblue
1307,1593,622,838,950,large,cornflowerblue
